Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Alcatel 3X 2020,2417.07,6.52 İnç,128 GB,6 GB,5000 mAh,46.0,https://www.epey.com/akilli-telefonlar/alcatel-3x-2020.html
Vivo Y20,2011.59,6.51 İnç,64 GB,4 GB,5000 mAh,46.0,https://www.epey.com/akilli-telefonlar/vivo-y20.html
HTC 10 evo,,5.5 İnç,32 GB,3 GB,3200 mAh,46.0,https://www.epey.com/akilli-telefonlar/htc-10-evo-32gb.html
Motorola Moto Z2 Play,,5.5 İnç,64 GB,4 GB,3000 mAh,46.0,https://www.epey.com/akilli-telefonlar/lenovo-moto-z2-play.html
Oukitel C21,,6.4 İnç,64 GB,4 GB,4000 mAh,46.0,https://www.epey.com/akilli-telefonlar/oukitel-c21.html
Samsung Galaxy S6 Edge,2797.54,5.1 İnç,32 GB,3 GB,2600 mAh,46.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s6-edge.html
Samsung Galaxy S6,,5.1 İnç,32 GB,3 GB,2550 mAh,46.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s6.html
ZTE Nubia Z17 mini (Special Edition),,5.2 İnç,128 GB,6 GB,2950 mAh,46.0,https://www.epey.com/akilli-telefonlar/zte-nubia-z17-mini-special-edition.html
Xiaomi Redmi Note 5 Pro,,5.99 İnç,64 GB,4 GB,4000 mAh,45.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5-pro.html
Samsung Galaxy C7 Pro,3239.9,5.7 İnç,64 GB,4 GB,3300 mAh,45.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c7-pro.html
Infinix S5 Pro,2485.89,6.53 İnç,128 GB,6 GB,4000 mAh,45.0,https://www.epey.com/akilli-telefonlar/infinix-s5-pro.html
Realme C15,2092.09,6.5 İnç,64 GB,4 GB,6000 mAh,45.0,https://www.epey.com/akilli-telefonlar/realme-c15.html
Xiaomi Mi Max 2,,6.44 İnç,128 GB,4 GB,5300 mAh,45.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-max-2.html
Xiaomi Redmi 8,1913.94,6.22 İnç,64 GB,4 GB,5000 mAh,45.0,https://www.epey.com/akilli-telefonlar/redmi-8-64gb.html
Casper VIA A3 Plus,,6.2 İnç,64 GB,6 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/casper-via-a3-plus.html
BlackBerry DTEK60,,5.5 İnç,32 GB,4 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/blackberry-dtek60.html
UMIDIGI One Pro,,5.9 İnç,64 GB,4 GB,3250 mAh,45.0,https://www.epey.com/akilli-telefonlar/umidigi-one-pro.html
Honor 8X,,6.5 İnç,64 GB,4 GB,3750 mAh,45.0,https://www.epey.com/akilli-telefonlar/honor-8x-jsn-l22.html
Huawei Mate 8,,6.0 İnç,64 GB,4 GB,4000 mAh,45.0,https://www.epey.com/akilli-telefonlar/huawei-mate-8-64gb.html
BlackBerry KEY2 LE,,4.5 İnç,64 GB,4 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/blackberry-key2-le.html
Xiaomi Mi 5s,,5.15 İnç,64 GB,3 GB,3200 mAh,45.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5s-64gb.html
LG V10,,5.7 İnç,64 GB,4 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/lg-v10.html
LG V10 Dual,,5.7 İnç,64 GB,4 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/lg-v10-dual.html
Samsung Galaxy A12,2314.77,6.5 İnç,64 GB,4 GB,5000 mAh,45.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a12.html
Huawei P Smart 2019,2619.0,6.21 İnç,64 GB,3 GB,3400 mAh,45.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart-2019.html
Realme C3,2184.05,6.5 İnç,64 GB,3 GB,5000 mAh,45.0,https://www.epey.com/akilli-telefonlar/realme-c3.html
Samsung Galaxy M20,,6.3 İnç,64 GB,4 GB,5000 mAh,45.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m20-dual-64gb.html
Oppo A54,2630.04,6.51 İnç,128 GB,4 GB,5000 mAh,48.0,https://www.epey.com/akilli-telefonlar/oppo-a54.html
Huawei Y9 Prime 2019,3338.0,6.59 İnç,128 GB,4 GB,4000 mAh,48.0,https://www.epey.com/akilli-telefonlar/huawei-y9-prime-2019.html
Samsung Galaxy A30,3348.0,6.4 İnç,64 GB,4 GB,4000 mAh,48.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a30.html
Samsung Galaxy A30,2882.07,6.4 İnç,64 GB,4 GB,4000 mAh,48.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a30-dual.html
Vivo Y20s,2699.0,6.51 İnç,128 GB,4 GB,5000 mAh,48.0,https://www.epey.com/akilli-telefonlar/vivo-y20s.html
Honor 20 Lite,2987.55,6.21 İnç,128 GB,4 GB,3400 mAh,48.0,https://www.epey.com/akilli-telefonlar/honor-20-lite.html
Xiaomi Redmi Note 5,,5.99 İnç,64 GB,6 GB,4000 mAh,48.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5-6gb.html
Apple iPhone 7 Plus,6657.54,5.5 İnç,32 GB,3 GB,2900 mAh,48.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7-plus.html
Samsung Galaxy M12,2296.71,6.5 İnç,64 GB,4 GB,5000 mAh,48.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m12.html
TCL 20 SE,2091.57,6.82 İnç,64 GB,4 GB,5000 mAh,47.0,https://www.epey.com/akilli-telefonlar/tcl-20-se.html
Oppo F9,,6.3 İnç,64 GB,6 GB,3500 mAh,47.0,https://www.epey.com/akilli-telefonlar/oppo-f9.html
Xiaomi Mi 5 Prime,,5.15 İnç,64 GB,3 GB,3000 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5-64gb.html
Huawei P9 Plus,,5.5 İnç,64 GB,4 GB,3400 mAh,47.0,https://www.epey.com/akilli-telefonlar/huawei-p9-plus.html
Xiaomi Mi 5s,,5.15 İnç,128 GB,4 GB,3200 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5s-128gb.html
Xiaomi Mi 6X,,5.99 İnç,64 GB,6 GB,3010 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-6x-6gb.html
Samsung Galaxy S6 Edge Plus,2652.78,5.7 İnç,32 GB,4 GB,3000 mAh,47.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s6-edge-plus.html
Samsung Galaxy A7 (2018),3860.0,6.0 İnç,64 GB,4 GB,3300 mAh,47.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2018.html
Samsung Galaxy A7 (2018),2232.0,6.0 İnç,64 GB,4 GB,3300 mAh,47.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2018-dual.html
Xiaomi Redmi Note 6 Pro,2027.4,6.26 İnç,64 GB,4 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-6-pro-64gb.html
Xiaomi Mi 5s Plus,,5.7 İnç,64 GB,4 GB,3800 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5s-plus.html
Tecno Spark 6,2249.67,6.8 İnç,128 GB,4 GB,5000 mAh,47.0,https://www.epey.com/akilli-telefonlar/tecno-spark-6.html
Honor 8X,,6.5 İnç,128 GB,4 GB,3750 mAh,47.0,https://www.epey.com/akilli-telefonlar/honor-8x-128gb.html
Honor 8X,2550.99,6.5 İnç,64 GB,4 GB,3750 mAh,47.0,https://www.epey.com/akilli-telefonlar/honor-8x.html
TCL 10 SE,1935.33,6.52 İnç,128 GB,4 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/tcl-10-se.html
LG K61,2677.88,6.53 İnç,128 GB,4 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/lg-k61.html
Doogee S60,,5.2 İnç,64 GB,6 GB,5580 mAh,47.0,https://www.epey.com/akilli-telefonlar/doogee-s60.html
Xiaomi Redmi Note 5 Pro,,5.99 İnç,64 GB,6 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5-pro-6gb.html
Xiaomi Mi A2,2499.0,5.99 İnç,64 GB,4 GB,3010 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a2-64gb.html
Xiaomi Redmi Note 7,,6.3 İnç,32 GB,3 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-7-32gb.html
Xiaomi Redmi Note 5,2499.0,5.99 İnç,64 GB,4 GB,4000 mAh,47.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5-64gb.html
Samsung Galaxy Note 5,2499.0,5.7 İnç,32 GB,4 GB,3000 mAh,47.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-5.html
Samsung Galaxy M30,,6.4 İnç,32 GB,3 GB,5000 mAh,45.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m30-32gb.html
Asus ZenFone 3,,5.5 İnç,64 GB,4 GB,3000 mAh,45.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-3-64gb.html
Casper VIA A4,,6.3 İnç,128 GB,6 GB,3950 mAh,45.0,https://www.epey.com/akilli-telefonlar/casper-via-a4-128gb.html
Vestel Venus Z20,2218.54,5.65 İnç,64 GB,4 GB,3400 mAh,45.0,https://www.epey.com/akilli-telefonlar/vestel-venus-z20.html
Nokia 7.1,,5.84 İnç,32 GB,3 GB,3060 mAh,45.0,https://www.epey.com/akilli-telefonlar/nokia-7-1.html
Infinix S5,,6.6 İnç,128 GB,6 GB,4000 mAh,45.0,https://www.epey.com/akilli-telefonlar/infinix-s5.html
ZTE Nubia Z17 miniS,,5.2 İnç,64 GB,6 GB,3200 mAh,44.0,https://www.epey.com/akilli-telefonlar/zte-nubia-z17-minis.html
Xiaomi Mi Max 2,,6.44 İnç,64 GB,4 GB,5300 mAh,44.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-max-2-64gb.html
Sony Xperia Z5,,5.2 İnç,32 GB,3 GB,2900 mAh,44.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z5.html
Sony Xperia Z5 Dual,,5.2 İnç,32 GB,3 GB,2900 mAh,44.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z5-dual.html
Samsung Galaxy A7 (2017),2894.04,5.7 İnç,32 GB,3 GB,3600 mAh,44.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2017-dual-sim.html
Samsung Galaxy A7 (2017),,5.7 İnç,32 GB,3 GB,3600 mAh,44.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7-2017.html
Xiaomi Mi 5,,5.15 İnç,32 GB,3 GB,3000 mAh,44.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5.html
LG G5 SE,,5.3 İnç,32 GB,3 GB,2800 mAh,44.0,https://www.epey.com/akilli-telefonlar/lg-g5-se-h845.html
LG G5 SE,,5.3 İnç,32 GB,3 GB,2800 mAh,44.0,https://www.epey.com/akilli-telefonlar/lg-g5-se.html
Apple iPhone 7,4759.0,4.7 İnç,32 GB,2 GB,1960 mAh,44.0,https://www.epey.com/akilli-telefonlar/apple-iphone-7.html
Huawei P40 lite E,2529.6,6.39 İnç,64 GB,4 GB,4000 mAh,44.0,https://www.epey.com/akilli-telefonlar/huawei-p40-lite-e.html
Samsung Galaxy C5 Pro,,5.2 İnç,64 GB,4 GB,2600 mAh,44.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c5-pro.html
Samsung Galaxy Note 4,,5.7 İnç,32 GB,3 GB,3220 mAh,44.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-4.html
Meizu M6 Note,,5.5 İnç,64 GB,4 GB,4000 mAh,44.0,https://www.epey.com/akilli-telefonlar/meizu-m6-note.html
Apple iPhone 6s Plus,,5.5 İnç,128 GB,2 GB,2750 mAh,43.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-plus-128gb.html
Blackview BV6800 Pro,,5.7 İnç,64 GB,4 GB,6580 mAh,43.0,https://www.epey.com/akilli-telefonlar/blackview-bv6800-pro.html
BlackBerry KEYone (Black Edition),,4.5 İnç,64 GB,4 GB,3505 mAh,43.0,https://www.epey.com/akilli-telefonlar/blackberry-keyone-black-edition.html
LG G4,,5.5 İnç,32 GB,3 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/lg-g4.html
Samsung Galaxy A5 (2017),2399.0,5.2 İnç,32 GB,3 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a5-2017-dual-sim.html
Samsung Galaxy A5 (2017),,5.2 İnç,32 GB,3 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a5-2017.html
Huawei P20 Lite,2199.0,5.84 İnç,64 GB,4 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/huawei-p20-lite.html
Xiaomi Mi A2,,5.99 İnç,32 GB,4 GB,3010 mAh,43.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a2.html
Honor 10 Lite,,6.21 İnç,64 GB,3 GB,3400 mAh,43.0,https://www.epey.com/akilli-telefonlar/honor-10-lite.html
Xiaomi Redmi Note 6 Pro,2050.62,6.26 İnç,32 GB,3 GB,4000 mAh,43.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-6-pro.html
Lenovo P2,,5.5 İnç,32 GB,4 GB,5100 mAh,43.0,https://www.epey.com/akilli-telefonlar/lenovo-p2.html
ZTE Nubia Z17 mini (Standard Edition),,5.2 İnç,64 GB,4 GB,2950 mAh,43.0,https://www.epey.com/akilli-telefonlar/zte-nubia-z17-mini.html
Microsoft Lumia 950 XL,,5.7 İnç,32 GB,3 GB,3340 mAh,43.0,https://www.epey.com/akilli-telefonlar/microsoft-lumia-950-xl.html
LG Q7+,2894.04,5.5 İnç,64 GB,4 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/lg-q7-plus.html
Samsung Galaxy A6+ Plus,3498.0,6.0 İnç,64 GB,4 GB,3500 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6-plus.html
Samsung Galaxy A6+ Plus,,6.0 İnç,64 GB,4 GB,3500 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6-plus-duos.html
Meizu Pro 7,,5.2 İnç,64 GB,4 GB,3000 mAh,43.0,https://www.epey.com/akilli-telefonlar/meizu-pro-7.html
Xiaomi Redmi 5 Plus,,5.99 İnç,64 GB,4 GB,4000 mAh,43.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-5-plus-64gb.html
Casper VIA A1 Plus,,5.5 İnç,128 GB,4 GB,5000 mAh,43.0,https://www.epey.com/akilli-telefonlar/casper-via-a1-plus.html
Samsung Galaxy Note 4,,5.7 İnç,32 GB,3 GB,3220 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-4-sm-n910h.html
Samsung Galaxy A9 Pro,,6.0 İnç,32 GB,4 GB,5000 mAh,43.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a9-pro.html
HTC U Play,,5.2 İnç,64 GB,4 GB,2500 mAh,43.0,https://www.epey.com/akilli-telefonlar/htc-u-play-64gb.html
Xiaomi Redmi Note 5,3183.54,5.99 İnç,32 GB,3 GB,4000 mAh,43.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-5.html
Xiaomi Mi 5s,,5.15 İnç,32 GB,4 GB,3200 mAh,42.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5s.html
Xiaomi Redmi 7,,6.26 İnç,64 GB,3 GB,4000 mAh,42.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-7-64gb.html
Sony Xperia Z3+,,5.2 İnç,32 GB,3 GB,2930 mAh,42.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z3-plus.html
Casper VIA A4,2022.75,6.3 İnç,64 GB,4 GB,3950 mAh,42.0,https://www.epey.com/akilli-telefonlar/casper-via-a4.html
Vestel Venus Z30,2407.68,6.18 İnç,64 GB,4 GB,3300 mAh,42.0,https://www.epey.com/akilli-telefonlar/vestel-venus-z30.html
General Mobile GM 9 Plus,1427.55,6.23 İnç,32 GB,3 GB,3450 mAh,42.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-9-plus.html
LG G4 Dual,,5.5 İnç,32 GB,3 GB,3000 mAh,42.0,https://www.epey.com/akilli-telefonlar/lg-g4-dual-sim.html
Huawei Y6p,1699.0,6.3 İnç,64 GB,3 GB,5000 mAh,42.0,https://www.epey.com/akilli-telefonlar/huawei-y6p.html
Apple iPhone 6s Plus,,5.5 İnç,64 GB,2 GB,2750 mAh,42.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s-plus-64gb.html
Samsung Galaxy J7 Pro,2894.04,5.5 İnç,64 GB,3 GB,3600 mAh,42.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro-64gb.html
Samsung Galaxy J7 Pro,,5.5 İnç,64 GB,3 GB,3600 mAh,42.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-pro-64gb-dual.html
Samsung Galaxy A9 Star Lite,,6.0 İnç,64 GB,4 GB,3500 mAh,42.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a9-star-lite.html
Xiaomi Redmi Pro,,5.5 İnç,64 GB,3 GB,4050 mAh,42.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-pro.html
Xiaomi Redmi 9C,2184.57,6.53 İnç,64 GB,3 GB,5000 mAh,42.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-9c-64gb.html
Huawei P20 Lite,1805.4,5.84 İnç,64 GB,4 GB,3000 mAh,42.0,https://www.epey.com/akilli-telefonlar/huawei-p20-lite-dual.html
Alcatel 3x 2019,1920.35,6.52 İnç,64 GB,4 GB,4000 mAh,42.0,https://www.epey.com/akilli-telefonlar/alcatel-3x-2019.html
Vodafone Smart Pro 7,,5.5 İnç,32 GB,3 GB,3000 mAh,42.0,https://www.epey.com/akilli-telefonlar/vodafone-smart-pro-7.html
Meizu Note 8,,5.99 İnç,64 GB,4 GB,3600 mAh,42.0,https://www.epey.com/akilli-telefonlar/meizu-note-8.html
Lenovo Moto Z Play,,5.5 İnç,32 GB,3 GB,3510 mAh,42.0,https://www.epey.com/akilli-telefonlar/lenovo-moto-z-play-32gb.html
General Mobile GM 21 Plus,1719.57,6.53 İnç,64 GB,4 GB,5050 mAh,42.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-21-plus.html
LG V10,,5.7 İnç,32 GB,4 GB,3000 mAh,42.0,https://www.epey.com/akilli-telefonlar/lg-v10-32gb.html
Huawei Nova 2 Plus,,5.5 İnç,64 GB,4 GB,3340 mAh,42.0,https://www.epey.com/akilli-telefonlar/huawei-nova-2-plus.html
Elephone A6 Max,,6.53 İnç,64 GB,4 GB,3450 mAh,42.0,https://www.epey.com/akilli-telefonlar/elephone-a6-max.html
Sony Xperia Z5 Compact,,4.6 İnç,32 GB,2 GB,2700 mAh,42.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z5-compact.html
Xiaomi Redmi 8,2199.0,6.22 İnç,32 GB,3 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/redmi-8.html
Xiaomi Mi 5X,,5.5 İnç,64 GB,4 GB,3080 mAh,41.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-5x-64gb.html
Oppo A31,2374.05,6.5 İnç,64 GB,4 GB,4230 mAh,41.0,https://www.epey.com/akilli-telefonlar/oppo-a31.html
Xiaomi Mi A1,,5.5 İnç,64 GB,4 GB,3080 mAh,41.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a1.html
Realme C3,,6.5 İnç,32 GB,3 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/realme-c3-32-gb.html
Samsung Galaxy A9 (2016),,6.0 İnç,32 GB,3 GB,4000 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a9-2016.html
Honor 10 Lite,2350.0,6.21 İnç,32 GB,3 GB,3400 mAh,41.0,https://www.epey.com/akilli-telefonlar/honor-10-lite-32gb.html
Casper VIA A1 Plus,,5.5 İnç,64 GB,4 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/casper-via-a1-plus-64gb.html
Huawei P10 Lite,,5.2 İnç,64 GB,4 GB,3000 mAh,41.0,https://www.epey.com/akilli-telefonlar/huawei-p10-lite-64gb.html
Huawei Mate 8,,6.0 İnç,32 GB,3 GB,4000 mAh,41.0,https://www.epey.com/akilli-telefonlar/huawei-mate-8.html
Elephone PX,2149.0,6.53 İnç,64 GB,4 GB,3300 mAh,41.0,https://www.epey.com/akilli-telefonlar/elephone-px.html
Samsung Galaxy J8,,6.0 İnç,64 GB,4 GB,3500 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j8-64gb-4gb.html
Samsung Galaxy On8 (2018),,6.0 İnç,64 GB,4 GB,3500 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-on8-2018.html
Samsung Galaxy A02s,2445.9,6.5 İnç,64 GB,4 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a02s-64gb.html
Xiaomi Mi A2 Lite,3183.54,5.84 İnç,64 GB,4 GB,4000 mAh,41.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-a2-lite-64gb.html
Samsung Galaxy M20,3039.75,6.3 İnç,32 GB,3 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m20.html
Microsoft Lumia 950,,5.2 İnç,32 GB,3 GB,3000 mAh,41.0,https://www.epey.com/akilli-telefonlar/microsoft-lumia-950.html
Samsung Galaxy C7,,5.7 İnç,64 GB,4 GB,3300 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c7-64gb.html
Asus ZenFone 3,,5.5 İnç,32 GB,3 GB,3000 mAh,41.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-3.html
Samsung Galaxy M20,,6.3 İnç,32 GB,3 GB,5000 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m20-dual.html
Meizu Pro 6,,5.2 İnç,32 GB,4 GB,2560 mAh,41.0,https://www.epey.com/akilli-telefonlar/meizu-pro-6.html
Alcatel 3 2019,,5.94 İnç,64 GB,4 GB,3500 mAh,41.0,https://www.epey.com/akilli-telefonlar/alcatel-3-2019.html
Xiaomi Redmi 6 Pro,,5.84 İnç,64 GB,4 GB,4000 mAh,41.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6-pro-64gb.html
Oppo A15s,2148.99,6.52 İnç,64 GB,4 GB,4230 mAh,41.0,https://www.epey.com/akilli-telefonlar/oppo-a15s.html
Xiaomi Mi Max 2,,6.44 İnç,32 GB,4 GB,5300 mAh,41.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-max-2-32gb.html
Reeder P10S,,5.5 İnç,64 GB,4 GB,3000 mAh,41.0,https://www.epey.com/akilli-telefonlar/reeder-p10s.html
BlackBerry Priv,,5.4 İnç,32 GB,3 GB,3410 mAh,41.0,https://www.epey.com/akilli-telefonlar/blackberry-priv.html
Samsung Galaxy J8,,6.0 İnç,64 GB,3 GB,3500 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j8-64gb.html
Samsung Galaxy J8,,6.0 İnç,64 GB,3 GB,3500 mAh,41.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j8-64gb-duos.html
Huawei P Smart,,5.65 İnç,64 GB,3 GB,3000 mAh,41.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart-64gb.html
Huawei Mate 10 Lite,2249.99,5.9 İnç,64 GB,4 GB,3340 mAh,41.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10-lite-dual.html
Huawei Mate 10 Lite,2311.18,5.9 İnç,64 GB,4 GB,3340 mAh,41.0,https://www.epey.com/akilli-telefonlar/huawei-mate-10-lite.html
Samsung Galaxy A8 (2016),,5.7 İnç,32 GB,3 GB,3300 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a8-2016.html
LG Q60,2218.54,6.26 İnç,64 GB,3 GB,3500 mAh,40.0,https://www.epey.com/akilli-telefonlar/lg-q60.html
Huawei Nova Plus,,5.5 İnç,32 GB,3 GB,3340 mAh,40.0,https://www.epey.com/akilli-telefonlar/huawei-nova-plus.html
Infinix Hot 8,1610.76,6.52 İnç,64 GB,4 GB,5000 mAh,40.0,https://www.epey.com/akilli-telefonlar/infinix-hot-8-64gb.html
Huawei Mate S,,5.5 İnç,64 GB,3 GB,2700 mAh,40.0,https://www.epey.com/akilli-telefonlar/huawei-mate-s-64gb.html
Samsung Galaxy A20,2900.0,6.4 İnç,32 GB,3 GB,4000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a20.html
Samsung Galaxy A20,2325.0,6.4 İnç,32 GB,3 GB,4000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a20-dual.html
Huawei P Smart 2019,,6.21 İnç,32 GB,3 GB,3400 mAh,40.0,https://www.epey.com/akilli-telefonlar/huawei-p-smart-2019-32gb.html
LG Q Stylus+,2664.0,6.2 İnç,64 GB,4 GB,3300 mAh,40.0,https://www.epey.com/akilli-telefonlar/lg-q-stylus-plus.html
Casper VIA A3,2349.0,6.2 İnç,64 GB,4 GB,3400 mAh,40.0,https://www.epey.com/akilli-telefonlar/casper-via-a3.html
Vivo Y11s,1819.0,6.51 İnç,32 GB,3 GB,5000 mAh,40.0,https://www.epey.com/akilli-telefonlar/vivo-y11s.html
Motorola Moto G5S Plus,,5.5 İnç,32 GB,3 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/moto-g5s-plus.html
Samsung Galaxy C8,,5.5 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-c8-64gb.html
Tecno Camon 12 Air,1931.61,6.55 İnç,64 GB,4 GB,4000 mAh,40.0,https://www.epey.com/akilli-telefonlar/tecno-camon-12-air.html
Xiaomi Mi Play,,5.84 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-play.html
Oppo AX7,2894.04,6.2 İnç,64 GB,4 GB,4230 mAh,40.0,https://www.epey.com/akilli-telefonlar/oppo-ax7-64gb.html
Asus ZenFone 2,,5.5 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-2.html
Xiaomi Redmi 8A,1949.0,6.22 İnç,32 GB,2 GB,5000 mAh,40.0,https://www.epey.com/akilli-telefonlar/redmi-8a.html
Realme C21,1834.89,6.5 İnç,64 GB,4 GB,5000 mAh,40.0,https://www.epey.com/akilli-telefonlar/realme-c21-64gb.html
Samsung Galaxy A6,3459.0,5.6 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6.html
Samsung Galaxy A6,,5.6 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a6-duos.html
Xiaomi Redmi S2,,5.99 İnç,64 GB,4 GB,3080 mAh,40.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-s2-64gb.html
HTC Desire 10 Pro,,5.5 İnç,64 GB,4 GB,3000 mAh,40.0,https://www.epey.com/akilli-telefonlar/htc-desire-10-pro-64gb.html
