Ürün Adı,Fiyat,Ekran Boyutu,Bellek (RAM),İşlemci Modeli,Teknik Puan,Link
Casper Nirvana S500.1021-BQ50X-G-F,10826.6,15.6 İnç,16 GB,Intel Core i5-10210U,45.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-bq50x-g-f.html
Casper Nirvana S500.1021-B650R-G,11760.56,15.6 İnç,16 GB,Intel Core i5-10210U,45.0,https://www.epey.com/laptop/casper-s500-1021-b650r-g.html
Lenovo IdeaPad Gaming 3 81Y400D9TX,12187.49,15.6 İnç,8 GB,Intel Core i5-10300H,45.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400d9tx.html
Lenovo IdeaPad Gaming 3 81Y400XSTX,9166.99,15.6 İnç,8 GB,Intel Core i5-10300H,45.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xstx.html
Lenovo V15 G2 82KD000JTX07,7878.48,15.6 İnç,20 GB,AMD Ryzen 5 5500U,45.0,https://www.epey.com/laptop/lenovo-v15-g2-82kd000jtx07.html
Lenovo Thinkpad E14 (2) 20TA0054TX,8415.57,14.0 İnç,8 GB,Intel Core i5-1135G7,45.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20ta0054tx.html
Asus X515JP-EJ173A10,8205.84,15.6 İnç,20 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/asus-x515jp-ej173a10.html
Dell Vostro 3500 N3004VN3500EMEA_U07,8088.9,15.6 İnç,16 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-vostro-3500-n3004vn3500emea-u07.html
Lenovo ThinkPad E15 G2 20T8S000AK17,10034.04,15.6 İnç,40 GB,AMD Ryzen 7 4700U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak17.html
Casper Nirvana S500.1021-D550X-G,10908.71,15.6 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-s500-1021-d550x-g.html
Dell Latitude 3520 N027L352015EMEA_U08,12348.09,15.6 İnç,32 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-latitude-3520-n027l352015emea-u08.html
HP ENVY x360 Convert 13-bd0001nt (37N29EA),10999.0,13.3 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/hp-envy-x360-convert-13-bd0001nt-37n29ea.html
Lenovo ThinkPad E15 20RES274TR14,11090.04,15.6 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20res274tr14.html
Lenovo IdeaPad Gaming 3 81Y400XTTX,8834.07,15.6 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400xttx.html
Lenovo IdeaPad Gaming 3 81Y400DATX,9394.55,15.6 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/lenovo-ideapad-3-81y400datx.html
Casper Nirvana X400.1065-BV00X-S-F,7439.07,14.0 İnç,16 GB,Intel Core i7-1065G7,44.0,https://www.epey.com/laptop/casper-nirvana-x400-1065-bv00x-s-f.html
Lenovo ThinkPad E15 G3 20YG0047TX,8635.25,15.6 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg0047tx.html
Casper Excalibur G770.1030-8VH0T,9499.0,15.6 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/casper-excalibur-g770-1030-8vh0t.html
Casper Nirvana S500.1021-D150X-G,10765.02,15.6 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-s500-1021-d150x-g.html
HP Pavilion 14-ec0006nt (4H0R2EA),7219.05,14.0 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/hp-pavilion-14-ec0006nt-4h0r2ea.html
HP Pavilion Gaming 16-a0000nt (1Y7D5EA),9671.02,16.1 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/hp-pavilion-gaming-16-a0000nt-1y7d5ea.html
Lenovo Thinkpad E14 (2) 20T6000VTX03,9656.92,14.0 İnç,8 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20t6000vtx03.html
Casper Nirvana S500.1021-B550R-G,11339.77,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-s500-1021-b550r-g.html
Lenovo V15 G2 82KD000JTX06,7366.8,15.6 İnç,20 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/lenovo-v15-g2-82kd000jtx06.html
Dell Latitude 5320 N024L532013EMA2IN1,14169.39,13.3 İnç,8 GB,Intel Core i5-1145G7,44.0,https://www.epey.com/laptop/dell-latitude-5320-n024l532013ema2in1.html
Asus X515JP-EJ173A9,8033.04,15.6 İnç,20 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/asus-x515jp-ej173a9.html
Dell Vostro 3500 N3004VN3500EMEA_U06,7536.0,15.6 İnç,16 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-vostro-3500-n3004vn3500emea-u06.html
Lenovo ThinkPad E15 G2 20T8S000AK16,9328.05,15.6 İnç,40 GB,AMD Ryzen 7 4700U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak16.html
Dell Inspiron 15 5501 S35G1F85N,8531.25,15.6 İnç,8 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/dell-inspiron-5501-s35g1f85n.html
Lenovo IdeaPad Creator 5 82D4002LTX,10645.0,15.6 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/lenovo-ideapad-creator-5-82d4002ltx.html
HP ProBook x360 435 G7 (175X5EA),9098.19,13.3 İnç,8 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/hp-probook-x360-435-g7-175x5ea.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Dell Vostro 3515-F6270 N3004VN3515EMEA_U15,9170.04,15.6 İnç,32 GB,AMD Ryzen 7 3700U,44.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u15.html
Asus FX505DT-BQ030,8997.75,15.6 İnç,8 GB,AMD Ryzen 7 3750H,44.0,https://www.epey.com/laptop/asus-fx505dt-bq030.html
Lenovo Thinkpad E14 20RA005FTX16,11181.99,14.0 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-20ra005ftx16.html
Lenovo Thinkpad E14 (2) 20TA004YTX14,12105.59,14.0 İnç,32 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20ta004ytx14.html
Dell XPS 13 9310 XPS1393102TGLU1200,18587.06,13.4 İnç,8 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-xps-13-9310-xps1393102tglu1200.html
Dell Vostro 3400 N4015VN3400EMEA01U02,10199.51,14.0 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-vostro-3400-n4015vn3400emea01u02.html
Lenovo ThinkPad E15 G2 20T80021TX21,9168.12,15.6 İnç,40 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx21.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U19,11090.04,15.6 İnç,64 GB,AMD Ryzen 7 3700U,44.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u19.html
HP 250 G8 (27K01EA04),7271.67,15.6 İnç,16 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/hp-250-g8-27k01ea04.html
Lenovo ThinkBook 14 (G2) 20VD00D6TX20,8437.2,14.0 İnç,24 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/lenovo-thinkbook-14-g2-20vd00d6tx20.html
HP ProBook x360 435 G7 (1F3H5EA),8767.0,13.3 İnç,8 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/hp-probook-x360-435-g7-1f3h5ea.html
Dell Vostro 5502 N5104VN5502EMEA01_2105_U14,11632.04,15.6 İnç,32 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-vostro-5502-n5104vn5502emea01-2105-u14.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U14,8882.04,15.6 İnç,32 GB,AMD Ryzen 7 3700U,44.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u14.html
Lenovo ThinkPad X1 Carbon 8 20U9S2PD00,19144.99,14.0 İnç,16 GB,Intel Core i7-10510U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-x1-carbon-8-20u9s2pd00.html
Lenovo ThinkPad E15 G2 20T8S000AK15,10012.05,15.6 İnç,24 GB,AMD Ryzen 7 4700U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak15.html
Casper Nirvana S500.1021-A550P-G-F,8119.0,15.6 İnç,12 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-a550p-g-f.html
Casper Nirvana S500.1021-B750X-G,10980.56,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-b750x-g.html
Lenovo ThinkPad E15 G2 20T80021TX20,8697.72,15.6 İnç,40 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx20.html
HP Pavilion 13-bb0007nt (4J670EA),11749.0,13.3 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/hp-pavilion-13-bb0007nt-4j670ea.html
HP 250 G8 (27K01EA03),6783.44,15.6 İnç,16 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/hp-250-g8-27k01ea03.html
Dell Vostro 3500 N3003VN3500EMEA0_U02,9458.04,15.6 İnç,8 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u02.html
Lenovo ThinkPad E15 20RD004NTX,10069.05,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20rd004ntx.html
Lenovo Thinkpad E14 (2) 20TA0050TX09,16339.99,14.0 İnç,32 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-2-20ta0050tx09.html
Lenovo ThinkPad E15 G2 20T8S000AK14,9842.04,15.6 İnç,24 GB,AMD Ryzen 7 4700U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak14.html
MSI GF63 Thin 10SC-260XTR,10358.2,15.6 İnç,8 GB,Intel Core i5-10300H,43.0,https://www.epey.com/laptop/msi-gf63-thin-10sc-260xtr.html
Lenovo ThinkPad L13 Yoga G2 20VK0044TX,11020.49,13.3 İnç,8 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkpad-l13-yoga-g2-20vk0044tx.html
Asus VivoBook 15 X571GT-BQ103A6,10139.64,15.6 İnç,12 GB,Intel Core i5-9300H,43.0,https://www.epey.com/laptop/asus-vivobook-15-x571gt-bq103a6.html
Lenovo ThinkBook 15 20SM009GTX,7504.05,15.6 İnç,8 GB,Intel Core i5-1035G1,43.0,https://www.epey.com/laptop/lenovo-thinkbook-15-20sm009gtx.html
Dell Latitude 5320 N023L532013EME2IN1,13550.94,13.3 İnç,8 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/dell-latitude-5320-n023l532013eme2in1.html
Lenovo IdeaPad L340 Gaming 81LK01CKTX,8999.0,15.6 İnç,8 GB,Intel Core i5-9300HF,43.0,https://www.epey.com/laptop/lenovo-ideapad-l340-gaming-81lk01cktx.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U18,10370.04,15.6 İnç,64 GB,AMD Ryzen 7 3700U,43.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u18.html
Lenovo ThinkBook 14 (G2) 20VD00D6TX19,7971.6,14.0 İnç,24 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkbook-14-g2-20vd00d6tx19.html
Lenovo ThinkBook 14s Yoga 20WE004QTX,8697.99,14.0 İnç,8 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkbook-14s-yoga-20we004qtx.html
Huawei MateBook 13,7101.0,13.0 İnç,16 GB,AMD Ryzen 7 3700U,43.0,https://www.epey.com/laptop/huawei-matebook-13-r7.html
Lenovo Thinkpad E14 20RAS04K00,11666.99,14.0 İnç,16 GB,Intel Core i7-10510U,43.0,https://www.epey.com/laptop/lenovo-e14-20ras04k00.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Dell G3 15 B750F8512C01,12775.54,15.6 İnç,8 GB,Intel Core i7-10750H,43.0,https://www.epey.com/laptop/dell-g3-15-b750f8512c01.html
Casper Nirvana S500.1021-B650X-G,10262.13,15.6 İnç,16 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/casper-s500-1021-b650x-g.html
Dell Latitude 3320 N014L332013EMEA,12149.43,13.3 İnç,8 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/dell-latitude-3320-n014l332013emea.html
Dell XPS 13-9305 XPS139305TGLU1400,17203.46,13.3 İnç,8 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/dell-xps-13-9305-xps139305tglu1400.html
"Microsoft Surface Book 2 13.5""",27156.6,13.5 İnç,8 GB,Intel Core i7-8650U,43.0,https://www.epey.com/laptop/microsoft-surface-book-2-13-5-hn4-00001.html
HP ProBook 440 G8 (2X7U5EA11),10418.04,14.0 İnç,64 GB,Intel Core i3-1115G4,43.0,https://www.epey.com/laptop/hp-probook-440-g8-2x7u5ea11.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U17,10082.04,15.6 İnç,64 GB,AMD Ryzen 7 3700U,43.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u17.html
Lenovo ThinkPad E15 G2 20T80021TX19,10295.01,15.6 İnç,24 GB,AMD Ryzen 5 4500U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx19.html
Dell Vostro 3500 N3003VN3500EMEA0_U01,8786.04,15.6 İnç,8 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u01.html
Lenovo ThinkBook 14 (G2) 20VD00D6TX18,7646.16,14.0 İnç,24 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkbook-14-g2-20vd00d6tx18.html
Lenovo ThinkPad E15 G3 20YG007BTX,8026.77,15.6 İnç,8 GB,AMD Ryzen 5 5500U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g3-20yg007btx.html
Asus FX505GT-BQ008T,10499.99,15.6 İnç,8 GB,Intel Core i5-9300H,43.0,https://www.epey.com/laptop/asus-fx505gt-bq008t.html
Casper Nirvana S500.1021-B550X-G,7609.0,15.6 İnç,16 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-b550x-g.html
Lenovo ThinkPad E15 G2 20T8S000AK13,9005.05,15.6 İnç,24 GB,AMD Ryzen 7 4700U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak13.html
Dell Latitude 3520 N027L352015EMEA_U05,11186.03,15.6 İnç,16 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/dell-latitude-3520-n027l352015emea-u05.html
Dell Vostro 3400 B65G7F85N04,10994.04,14.0 İnç,8 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/dell-vostro-3400-b65g7f85n04.html
Dynabook Portege X50-G-137,17393.99,15.6 İnç,16 GB,Intel Core i7-10510U,43.0,https://www.epey.com/laptop/dynabook-portege-x50-g-137.html
Lenovo ThinkPad E15 20RES274TR08,10274.04,15.6 İnç,16 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20res274tr08.html
Lenovo ThinkBook 14 (G2) 20VD00D6TX14,8018.64,14.0 İnç,16 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkbook-14-g2-20vd00d6tx14.html
HP 13-aq1001nt (8KH53EA),8286.52,13.3 İnç,8 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/hp-13-aq1001nt-8kh53ea.html
Lenovo V15 82C500NNTX,7328.0,15.6 İnç,12 GB,Intel Core i5-1035G1,43.0,https://www.epey.com/laptop/lenovo-v15-82c500nntx.html
Casper Nirvana S500.1021-DF50R-G,12848.44,15.6 İnç,32 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-df50r-g.html
MSI Modern 15 A5M-022XTR,7206.57,15.6 İnç,8 GB,AMD Ryzen 5 5500U,43.0,https://www.epey.com/laptop/msi-modern-15-a5m-022xtr.html
Dell Inspiron 5482 FHDTS26W82C,9651.52,14.0 İnç,8 GB,Intel Core i5-8265U,43.0,https://www.epey.com/laptop/dell-inspiron-5482-fhdts26w82c.html
Game Garaj GRJ 5B3,6098.02,15.6 İnç,16 GB,Intel Core i5-1035G1,43.0,https://www.epey.com/laptop/game-garaj-grj-5b3.html
Game Garaj Hunter 5TN-02,8612.01,15.6 İnç,8 GB,Intel Core i5-10300H,43.0,https://www.epey.com/laptop/game-garaj-hunter-5tn-02.html
Casper Nirnava S500.1021-B150X-G,9697.66,15.6 İnç,16 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/casper-nirnava-s500-1021-b150x-g.html
Lenovo ThinkPad E15 G2 20T80021TX18,9375.55,15.6 İnç,24 GB,AMD Ryzen 5 4500U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx18.html
Lenovo ThinkPad E15 G2 20TD004ATX11,12339.55,15.6 İnç,32 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20td004atx11.html
Lenovo Thinkpad E14 G3 20Y7004FTX,7318.17,14.0 İnç,8 GB,AMD Ryzen 5 5500U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-3-20y7004ftx.html
Dell Vostro 3500 N3003VN3500EMEA0_U,7628.0,15.6 İnç,8 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/dell-vostro-3500-n3003vn3500emea0-u.html
Dell Latitude 3520 N015L352019EMEA_U08,10277.77,15.6 İnç,32 GB,Intel Core i5-1135G7,43.0,https://www.epey.com/laptop/dell-latitude-3520-n015l352019emea-u08.html
HP ProBook 440 (1Q2X3ES),9162.99,14.0 İnç,16 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/hp-probook-440-1q2x3es.html
Lenovo ThinkPad E15 G2 20T8S000AK11,9556.05,15.6 İnç,16 GB,AMD Ryzen 7 4700U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak11.html
Lenovo ThinkPad E15 G2 20T80021TX26,9638.52,15.6 İnç,16 GB,AMD Ryzen 5 4500U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx26.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Huawei MateBook 14 R5 (8GB/256SSD),7057.99,14.0 İnç,8 GB,AMD Ryzen 5 4600H,44.0,https://www.epey.com/laptop/huawei-matebook-14.html
Asus X515JP-EJ009,9517.0,15.6 İnç,8 GB,Intel Core i7-1065G7,44.0,https://www.epey.com/laptop/asus-x515jp-ej009.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U16,9938.04,15.6 İnç,32 GB,AMD Ryzen 7 3700U,44.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u16.html
Dell Latitude 7420 N007L742014EMEA,14402.82,14.0 İnç,8 GB,Intel Core i5-1145G7,44.0,https://www.epey.com/laptop/dell-latitude-7420-n007l742014emea.html
Casper Nirvana S500.1021-B150R-G,11185.81,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-s500-1021-b150r-g.html
Lenovo Thinkpad E14 G3 20Y70074TX,8824.55,14.0 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e14-g3-20y70074tx.html
Dell Latitude 3520 N015L352019EMEA_U14,11874.04,15.6 İnç,32 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/dell-latitude-3520-n015l352019emea-u14.html
Dell Inspiron 14 7400 INS740014TGL109,10229.07,14.5 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-inspiron-14-7400-ins740014tgl109.html
Dell Inspiron 14 7400 NAKIAN714TGL2105_109,12499.0,14.5 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-inspiron-14-7400-nakian714tgl2105-109.html
HP ENVY x360 Convert 13-bd0003nt (37N30EA),11073.59,13.3 İnç,8 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/hp-envy-x360-convert-13-bd0003nt-37n30ea.html
Huawei MateBook D15 2021,8766.0,15.6 İnç,16 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/huawei-matebook-d15-i5-1135g7-16gb-512gb.html
Dell Vostro 3400 N4015VN3400EMEA01U03,11090.04,14.0 İnç,8 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-vostro-3400-n4015vn3400emea01u03.html
Lenovo ThinkPad E15 G2 20T80021TX22,9826.68,15.6 İnç,40 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx22.html
HP Pavilion 14-ec0009nt (4H0R5EA),6781.28,14.0 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/hp-pavilion-14-ec0009nt-4h0r5ea.html
Casper Nirvana S500.1021-BV50X-G-F,7359.0,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/casper-nirvana-s500-1021-bv50x-g-f.html
HP 250 G8 (27K01EA05),7887.44,15.6 İnç,16 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/hp-250-g8-27k01ea05.html
Lenovo IdeaPad Gaming 3 81Y400LNTX,10199.0,15.6 İnç,8 GB,Intel Core i5-10300H,44.0,https://www.epey.com/laptop/lenovo-ideapad-gaming-3-81y400lntx.html
MSI Modern 14 B11SBL-473XTR,8827.05,14.0 İnç,8 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/msi-modern-14-b11sbl-473xtr.html
Dell Latitude 3520 N027L352015EMEA_U07,11955.29,15.6 İnç,32 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-latitude-3520-n027l352015emea-u07.html
Lenovo Yoga Duet 7 82MA001QTX,11700.98,13.0 İnç,8 GB,Intel Core i5-1135G7,44.0,https://www.epey.com/laptop/lenovo-yoga-duet-7-82ma001qtx.html
Lenovo ThinkPad E15 20RES274TR13,10658.04,15.6 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20res274tr13.html
Xiaomi RedmiBook 14 II,8299.0,14.0 İnç,16 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/xiaomi-redmibook-14-ii.html
Lenovo IdeaPad 5 82LM0088TX,6220.77,14.0 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/lenovo-ideapad-5-82lm0088tx.html
Lenovo ThinkPad E15 G2 20T80021TX27,8979.96,15.6 İnç,24 GB,AMD Ryzen 5 4500U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t80021tx27.html
Casper Nirvana S500.1165-BV00X-G-F,7799.0,15.6 İnç,16 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/casper-nirvana-s500-1165-bv00x-g-f.html
Lenovo ThinkPad E15 20RD004GTX,12156.36,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20rd004gtx.html
Dell Latitude 5511 N005L551115EMEA_U,14055.99,15.6 İnç,16 GB,Intel Core i7-10850H,44.0,https://www.epey.com/laptop/dell-latitude-5511-n005l551115emea-u.html
Lenovo IdeaPad 3 82KU0081TX,6399.0,15.6 İnç,8 GB,AMD Ryzen 5 5500U,44.0,https://www.epey.com/laptop/lenovo-ideapad-3-82ku0081tx.html
Lenovo V15 82C500R6TX,6843.87,15.6 İnç,12 GB,Intel Core i5-1035G1,44.0,https://www.epey.com/laptop/lenovo-v15-82c500r6tx.html
Dell Latitude 3520 N027L352015EMEA_U13,12268.55,15.6 İnç,16 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-latitude-3520-n027l352015emea-u13.html
Lenovo IdeaPad 3 81WC007ETX,9499.0,17.3 İnç,8 GB,Intel Core i7-10510U,44.0,https://www.epey.com/laptop/lenovo-ideapad-3-81wc007etx.html
Lenovo ThinkPad E15 20RES274TR22,11042.04,15.6 İnç,16 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20res274tr22.html
Dell Latitude 7320 N017L732013EMEA,13235.67,13.3 İnç,8 GB,Intel Core i5-1145G7,44.0,https://www.epey.com/laptop/dell-latitude-7320-n017l732013emea.html
Dell Latitude 3520 N027L352015EMEA_U06,11242.29,15.6 İnç,32 GB,Intel Core i7-1165G7,44.0,https://www.epey.com/laptop/dell-latitude-3520-n027l352015emea-u06.html
Lenovo ThinkPad E15 20RES274TR12,10322.04,15.6 İnç,32 GB,Intel Core i5-10210U,44.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20res274tr12.html
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
HP ENVY 13-ba1010nt (324L6EA),11666.0,13.3 İnç,8 GB,Intel Core i7-1165G7,43.0,https://www.epey.com/laptop/hp-envy-13-ba1010nt-324l6ea.html
Acer Nitro 5 AN515-55,9569.61,15.6 İnç,8 GB,Intel Core i5-10300H,43.0,https://www.epey.com/laptop/acer-nitro-5-an515-55-nh-q7jey-007.html
Lenovo ThinkPad E15 G2 20T8S000AK12,8552.64,15.6 İnç,24 GB,AMD Ryzen 7 4700U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-g2-20t8s000ak12.html
Dell Vostro 3515-F6270 N3004VN3515EMEA_U10,8910.53,15.6 İnç,16 GB,AMD Ryzen 7 3700U,43.0,https://www.epey.com/laptop/dell-vostro-3515-f6270-n3004vn3515emea-u10.html
Acer Aspire E5-576G-87WC,12187.5,15.6 İnç,16 GB,Intel Core i7-8550U,43.0,https://www.epey.com/laptop/acer-aspire-e5-576g-87wc.html
Lenovo ThinkPad E15 20RD0063TX16,10696.05,15.6 İnç,32 GB,Intel Core i5-10210U,43.0,https://www.epey.com/laptop/lenovo-thinkpad-e15-20rd0063tx16.html
Lenovo V14 82C4015BTX,6582.54,14.0 İnç,8 GB,Intel Core i5-1035G1,43.0,https://www.epey.com/laptop/lenovo-v14-82c4015btx.html
HP ProBook 440 G8 (2X7U5EA10),9986.04,14.0 İnç,64 GB,Intel Core i3-1115G4,43.0,https://www.epey.com/laptop/hp-probook-440-g8-2x7u5ea10.html
